time(%Y-%m-%dT%H:%M:%S.%f),rel_time(sec),velocity(c/s)
2022-02-03T08:00:00.009000,0,0
2022-02-03T08:00:00.059000,0.05,0.000128199
2022-02-03T08:00:00.109000,0.1,0.000703449
2022-02-03T08:00:00.159000,0.15,-0.001124032
2022-02-03T08:00:00.209000,0.2,-0.003984773
2022-02-03T08:00:00.259000,0.25,-0.000261863
2022-02-03T08:00:00.309000,0.3,-0.007595624
2022-02-03T08:00:00.359000,0.35,-0.008470635
2022-02-03T08:00:00.409000,0.4,-0.000988258
2022-02-03T08:00:00.459000,0.45,-0.034113157
2022-02-03T08:00:00.509000,0.5,-0.030667117
2022-02-03T08:00:00.559000,0.55,-0.012285248
2022-02-03T08:00:00.609000,0.6,-0.061354788
2022-02-03T08:00:00.659000,0.65,-0.034113877
2022-02-03T08:00:00.709000,0.7,-0.008713614
2022-02-03T08:00:00.759000,0.75,-0.044369608
2022-02-03T08:00:00.809000,0.8,-0.006527818
2022-02-03T08:00:00.859000,0.85,-0.030826174
2022-02-03T08:00:00.909000,0.9,-0.00984866
2022-02-03T08:00:00.959000,0.95,0.095769427
2022-02-03T08:00:01.009000,1,0.037397121
2022-02-03T08:00:01.059000,1.05,0.011751756909924374
2022-02-03T08:00:01.109000,1.1,0.077497748
2022-02-03T08:00:01.159000,1.15,-0.016246861
2022-02-03T08:00:01.209000,1.2,-0.152313303
2022-02-03T08:00:01.259000,1.25,-0.132517233
2022-02-03T08:00:01.309000,1.3,-0.088571794
2022-02-03T08:00:01.359000,1.35,-0.144211092
2022-02-03T08:00:01.409000,1.4,-0.263509901
2022-02-03T08:00:01.459000,1.45,-0.190498493
2022-02-03T08:00:01.509000,1.5,0.057754803
2022-02-03T08:00:01.559000,1.55,-0.226923074
2022-02-03T08:00:01.609000,1.6,-0.261359642
2022-02-03T08:00:01.659000,1.65,0.038517875
2022-02-03T08:00:01.709000,1.7,-0.284124154
2022-02-03T08:00:01.759000,1.75,-0.108561061
2022-02-03T08:00:01.809000,1.8,0.014707132339618931
2022-02-03T08:00:01.859000,1.85,-0.069313572
2022-02-03T08:00:01.909000,1.9,0.2637399717719262
2022-02-03T08:00:01.959000,1.95,-0.207544824
2022-02-03T08:00:02.009000,2,-0.203166601
2022-02-03T08:00:02.059000,2.05,0.4506161617323337
2022-02-03T08:00:02.109000,2.1,0.03610764
2022-02-03T08:00:02.159000,2.15,-0.340641245
2022-02-03T08:00:02.209000,2.2,0.12227332235776116
2022-02-03T08:00:02.259000,2.25,0.041038688632348726
2022-02-03T08:00:02.309000,2.3,-0.329683867
2022-02-03T08:00:02.359000,2.35,-0.186671237
2022-02-03T08:00:02.409000,2.4,-0.589253285
2022-02-03T08:00:02.459000,2.45,-0.625538087
2022-02-03T08:00:02.509000,2.5,-0.259190002
2022-02-03T08:00:02.559000,2.55,-0.529409897
2022-02-03T08:00:02.609000,2.6,-0.332001349
2022-02-03T08:00:02.659000,2.65,0.18887241726400736
2022-02-03T08:00:02.709000,2.7,-0.219754933
2022-02-03T08:00:02.759000,2.75,-0.544236299
2022-02-03T08:00:02.809000,2.8,0.10588728439817609
2022-02-03T08:00:02.859000,2.85,-0.92414631
2022-02-03T08:00:02.909000,2.9,-0.65346435
2022-02-03T08:00:02.959000,2.95,1.2072898569191153
2022-02-03T08:00:03.009000,3,0.37679602336194234
2022-02-03T08:00:03.059000,3.05,0.7069356747526767
2022-02-03T08:00:03.109000,3.1,0.5840314696141519
2022-02-03T08:00:03.159000,3.15,-0.507987689
2022-02-03T08:00:03.209000,3.2,-0.330174016
2022-02-03T08:00:03.259000,3.25,-0.581139353
2022-02-03T08:00:03.309000,3.3,-0.103785557
2022-02-03T08:00:03.359000,3.35,-0.383770185
2022-02-03T08:00:03.409000,3.4,-0.592697151
2022-02-03T08:00:03.459000,3.45,-0.993818602
2022-02-03T08:00:03.509000,3.5,-1.30138897
2022-02-03T08:00:03.559000,3.55,-0.264809882
2022-02-03T08:00:03.609000,3.6,-1.033312599
2022-02-03T08:00:03.659000,3.65,-0.93621441
2022-02-03T08:00:03.709000,3.7,-0.806711085
2022-02-03T08:00:03.759000,3.75,-0.961868289
2022-02-03T08:00:03.809000,3.8,0.9242849007155545
2022-02-03T08:00:03.859000,3.85,0.7519265695170267
2022-02-03T08:00:03.909000,3.9,0.2245931793338029
2022-02-03T08:00:03.959000,3.95,0.25942202074296655
2022-02-03T08:00:04.009000,4,-0.097289764
2022-02-03T08:00:04.059000,4.05,0.4576759297125591
2022-02-03T08:00:04.109000,4.1,0.24623368534133278
2022-02-03T08:00:04.159000,4.15,-0.56127591
2022-02-03T08:00:04.209000,4.2,-0.00906311
2022-02-03T08:00:04.259000,4.25,0.228884659
2022-02-03T08:00:04.309000,4.3,-1.545470602
2022-02-03T08:00:04.359000,4.35,-2.224147313
2022-02-03T08:00:04.409000,4.4,-1.21669718
2022-02-03T08:00:04.459000,4.45,-0.684683282
2022-02-03T08:00:04.509000,4.5,-0.853135696
2022-02-03T08:00:04.559000,4.55,-1.028505363
2022-02-03T08:00:04.609000,4.6,0.4232278437411819
2022-02-03T08:00:04.659000,4.65,0.10606860407037665
2022-02-03T08:00:04.709000,4.7,-1.098166929
2022-02-03T08:00:04.759000,4.75,0.9162033815974829
2022-02-03T08:00:04.809000,4.8,0.45791298154395077
2022-02-03T08:00:04.859000,4.85,0.068595673
2022-02-03T08:00:04.909000,4.9,1.2430915283702164
2022-02-03T08:00:04.959000,4.95,0.024098268885343027
2022-02-03T08:00:05.009000,5,3.265174460591784
2022-02-03T08:00:05.059000,5.05,3.999727960389304
2022-02-03T08:00:05.109000,5.1,0.36544271110139515
2022-02-03T08:00:05.159000,5.15,0.47141588412966656
2022-02-03T08:00:05.209000,5.2,-1.752858538
2022-02-03T08:00:05.259000,5.25,-0.28740407
2022-02-03T08:00:05.309000,5.3,3.183119828010181
2022-02-03T08:00:05.359000,5.35,-0.353375538
2022-02-03T08:00:05.409000,5.4,-1.016380505
2022-02-03T08:00:05.459000,5.45,0.9118138650493216
2022-02-03T08:00:05.509000,5.5,0.247738129
2022-02-03T08:00:05.559000,5.55,-1.305516396
2022-02-03T08:00:05.609000,5.6,-0.859985339
2022-02-03T08:00:05.659000,5.65,0.019844661712822623
2022-02-03T08:00:05.709000,5.7,-1.135014016
2022-02-03T08:00:05.759000,5.75,1.378553013485397
2022-02-03T08:00:05.809000,5.8,3.915693126023473
2022-02-03T08:00:05.859000,5.85,1.8715973217435502
2022-02-03T08:00:05.909000,5.9,0.017167182187398253
2022-02-03T08:00:05.959000,5.95,0.28087100199117415
2022-02-03T08:00:06.009000,6,2.6355177351346666
2022-02-03T08:00:06.059000,6.05,2.472860810926982
2022-02-03T08:00:06.109000,6.1,2.165113963
2022-02-03T08:00:06.159000,6.15,4.806976354333204
2022-02-03T08:00:06.209000,6.2,2.0897506393720624
2022-02-03T08:00:06.259000,6.25,0.6669357492867292
2022-02-03T08:00:06.309000,6.3,4.074841118978215
2022-02-03T08:00:06.359000,6.35,4.062053015059672
2022-02-03T08:00:06.409000,6.4,1.076276913551319
2022-02-03T08:00:06.459000,6.45,-2.698253802
2022-02-03T08:00:06.509000,6.5,0.16491941034102098
2022-02-03T08:00:06.559000,6.55,1.3617443827758382
2022-02-03T08:00:06.609000,6.6,0.410333153
2022-02-03T08:00:06.659000,6.65,3.6163327544291937
2022-02-03T08:00:06.709000,6.7,0.9199199268013519
2022-02-03T08:00:06.759000,6.75,2.453019454502994
2022-02-03T08:00:06.809000,6.8,4.372913411448014
2022-02-03T08:00:06.859000,6.85,2.695548465287994
2022-02-03T08:00:06.909000,6.9,5.201514972716243
2022-02-03T08:00:06.959000,6.95,2.1440155944269437
2022-02-03T08:00:07.009000,7,4.2581269678840625
2022-02-03T08:00:07.059000,7.05,7.809177097495752
2022-02-03T08:00:07.109000,7.1,2.696693665368288
2022-02-03T08:00:07.159000,7.15,3.2990725407207475
2022-02-03T08:00:07.209000,7.2,4.778758956
2022-02-03T08:00:07.259000,7.25,3.192149189997445
2022-02-03T08:00:07.309000,7.3,2.6434696362457935
2022-02-03T08:00:07.359000,7.35,3.972510899628663
2022-02-03T08:00:07.409000,7.4,3.417746715394525
2022-02-03T08:00:07.459000,7.45,-0.425321493
2022-02-03T08:00:07.509000,7.5,1.3289534253334228
2022-02-03T08:00:07.559000,7.55,0.085420525
2022-02-03T08:00:07.609000,7.6,-0.446329445
2022-02-03T08:00:07.659000,7.65,6.327166068775171
2022-02-03T08:00:07.709000,7.7,1.8280505830145521
2022-02-03T08:00:07.759000,7.75,-0.909361337
